month,delta_tas,delta_tasmax,delta_tasmin,alpha_hurs,alpha_rsds,alpha_sfcWind,alpha_pr,delta_pres
1,2.2417,1.9588,2.301,0.9636,1.0095,1.0418,1.1357,31.322
2,2.2109,1.6983,2.5221,0.9598,1.0141,1.0404,1.0959,22.0678
3,2.1765,1.8095,2.5489,0.9599,1.0156,1.0501,0.9886,23.4915
4,2.2469,2.2139,2.1451,0.9679,1.0127,1.0557,0.9861,13.5254
5,2.4215,2.5696,1.9679,0.9591,1.0273,1.0739,0.9101,22.0678
6,2.1818,2.9329,1.7369,0.9835,1.0171,1.055,0.9586,37.0169
7,1.9988,2.2688,1.7682,0.9911,1.0149,1.0301,1.0122,57.661
8,1.9748,2.2918,1.7957,0.9945,1.0194,1.0143,1.0094,58.3729
9,1.9406,2.3136,1.7631,0.9984,1.0084,1.0661,1.0388,38.4407
10,2.056,2.2321,1.9082,0.9889,0.9943,0.9924,1.1716,20.6441
11,2.1125,2.24,1.8888,0.9766,0.9995,1.0241,1.1841,24.2034
12,2.2677,2.2114,2.2688,0.9776,1.0072,1.0405,1.1269,26.339
