id,district_th,name_th,area_sqm,status,completed_month,completed_year_ce,source
1.0,คลองเตย,สวนเฉลิมพระเกียรติสมเด็จย่า,14400.0,renovation,2.0,2023.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
2.0,คลองเตย,สวนป๋าเปรม,0.0,renovation,3.0,2023.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
3.0,คลองเตย,สวนอาจณรงค์ภิรมย์,0.0,renovation,5.0,2023.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
4.0,คลองเตย,สวน 80 พรรษามหาราชินี (ใต้ทางด่วนซอยสุขุมวิท 48/1),8000.0,new_build,11.0,2023.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
5.0,คลองเตย,สวน 50 สุข (ซ. สุขุมวิท 50),20728.0,new_build,2.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
6.0,คลองเตย,สวนคลองเตย พัก & Play (สวนหย่อมหน้าสถานี MRT ศูนย์ประชุมแห่งชาติสิริกิติ์),976.0,new_build,3.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
7.0,คลองเตย,สวนวัดคลองเตยใน,800.0,new_build,3.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
8.0,คลองเตย,สวนเพลินจิต,0.0,new_build,11.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
9.0,คลองเตย,สวนสุขวิถีชาวแฟลต,450.0,new_build,1.0,2025.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
10.0,คลองสาน,สวนหย่อมตรงข้ามสำนักงานเขต,180.0,renovation,2.0,2023.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
11.0,คลองสาน,สวนหย่อมตรงข้ามสำนักการศึกษา,300.0,renovation,4.0,2023.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
12.0,คลองสาน,ที่ว่างริมแม่น้ำเจ้าพระยาวัดทองธรรมชาติ ถนนเชียงใหม่,228.0,new_build,7.0,2023.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
13.0,คลองสาน,สวนหย่อมสามเหลี่ยมลาดหญ้า,300.0,renovation,1.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
14.0,คลองสาน,สวนหย่อมริมคลองวัดทองนพคุณ ซอยสมเด็จเจ้าพระยา 15,160.0,new_build,7.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
15.0,คลองสาน,สวนหย่อมหน้าสวนป่าเฉลิมพระเกียรติใต้สะพานสมเด็จพระเจ้าตากสิน,500.0,renovation,8.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
16.0,คลองสามวา,สวนสามวาพนานุรักษ์,3200.0,renovation,3.0,2022.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
17.0,คลองสามวา,สวนสามวาประชาสุขสันต์,4104.0,new_build,8.0,2023.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
18.0,คลองสามวา,สวนเจริญสุขสุขสำราญพัฒนา,1600.0,new_build,8.0,2023.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
19.0,คลองสามวา,สวนราษฎร์ร่วมใจ,6180.0,new_build,8.0,2023.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
20.0,คลองสามวา,สวนสามวาพระยาสุเรนทร์,1600.0,new_build,1.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
21.0,คลองสามวา,สวน 15 นาที บึงแบนตาโพ,15780.0,renovation,5.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
22.0,คลองสามวา,สวน 15 นาที สามวาไมตรีจิต,3784.0,new_build,9.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
23.0,คันนายาว,สวนสุขใจ,6221.9,new_build,6.0,2022.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
24.0,คันนายาว,สวนน้ำคันนายาวภิรมณ์ ซอยเสรีไทย 38 แยก 14 ถึงใต้ทางด่วนยกระดับบางนา-บางปะอิน,2810.0,new_build,6.0,2023.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
25.0,คันนายาว,สวนน้ำคันนายาวภิรมณ์ ซอยเสรีไทย 38 ใต้ทางด่วนยกระดับบางนา-บางปะอิน สวนป่าโซน 3,2265.0,new_build,6.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
26.0,คันนายาว,สวนน้ำคันนายาวภิรมณ์ ซอยเสรีไทย 38 ใต้ทางด่วนยกระดับบางนา-บางปะอิน สวนป่าโซน 2,1770.0,new_build,7.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
27.0,คันนายาว,สวน 15 นาที @ สำนักงานเขตคันนายาว,416.0,new_build,11.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
28.0,จตุจักร,สวนใต้สะพานรัชวิภา,96.0,new_build,1.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
29.0,จตุจักร,สวนชุมชนเคหะเรือนแถว,150.0,new_build,4.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
30.0,จตุจักร,สวนชุมชนประชาร่วมใจ 2,200.0,new_build,6.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
31.0,จตุจักร,สวนวัดเสมียนนารี,330.0,new_build,11.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
32.0,จตุจักร,สวนใต้สะพานงามวงศ์วาน,248.0,new_build,11.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
33.0,จตุจักร,สวนหน้าสำนักงานเขตจตุจักร,908.0,new_build,6.0,2025.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
34.0,จอมทอง,สวนชานบ้านดาวคะนอง-จอมทอง,348.0,renovation,10.0,2022.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
35.0,จอมทอง,สวนสุขภาพบริเวณรอบสำนักงานเขตจอมทอง,1600.0,renovation,3.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
36.0,จอมทอง,สวนหย่อมดาวคะนอง,348.0,renovation,5.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
37.0,จอมทอง,สวนหย่อมชายน้ำตำหนักพระเจ้าเสือ,400.0,renovation,7.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
38.0,ดอนเมือง,สวนหย่อมหน้ากองบังคับการตำรวจนครบาล 2 ถนนเชิดวุฒากาศพื้นที่ช่วงหน้าสถานีตำรวจนครบาลดอนเมืองถึงสะพานข้ามคูนายกิมสาย 1,2400.0,new_build,9.0,2023.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
39.0,ดอนเมือง,สวนหย่อมหน้าบริษัทการท่าอากาศยานดอนเมือง ถนนเชิดวุฒากาศพื้นที่ช่วงหน้าสถานีบริการน้ำมัน ปตท.ถึงสะพานลอยคนเดินข้ามหน้าบริษัทการท่าอากาศยานดอนเมือง,8500.0,new_build,9.0,2023.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
40.0,ดอนเมือง,สวนภายในศูนย์สาธารณสุข 60 รสสุสคธ์ มโนชญากร,800.0,new_build,6.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
41.0,ดอนเมือง,สวนหย่อมบริเวณประตู 1 สนามบินดอนเมืองหน้าบริษัทการท่าอากาศยาน ดอนเมือง,500.0,new_build,7.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
42.0,ดอนเมือง,ศูนย์การเรียนรู้เกษตรอินทรีย์วิถีคน(ดอน)เมือง,7004.0,new_build,9.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
43.0,ดินแดง,สวนหย่อมดับเพลิงสุทธิสาร,2400.0,new_build,,,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
44.0,ดินแดง,สวนหย่อมริมคลองห้วยขวาง,380.0,renovation,,,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
45.0,ดินแดง,สวน 15 นาที คลองสามเสน,200.0,renovation,,,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
46.0,ดินแดง,สวน 15 นาที @ ดินแดง,100.0,renovation,,,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
47.0,ดินแดง,สวน 15 นาที เคหะสร้างสุข,126.8,renovation,,,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
48.0,ดินแดง,สวน 15 นาที โรงเรียนวิชูทิศ,468.0,new_build,,,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
49.0,ดินแดง,สวน 15 นาที โรงเรียนวิชากร,264.0,new_build,,,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
50.0,ดินแดง,สวน 15 นาที อโศกร่มรื่น,100.0,new_build,,,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
51.0,ดุสิต,สวนหน้าคณะแพทยศาสตร์วชิรพยาบาลฯ1,1600.0,new_build,10.0,2022.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
52.0,ดุสิต,สวนสามสัก,200.0,renovation,7.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
53.0,ดุสิต,สวนมูลนิธิรัฐบุรุษ พลเอกเปรม ติณสูลานนท์,470.0,renovation,9.0,2024.0,data.bangkok.go.th (สวน 15 นาที / env_park15_min.csv)
