site_id,district,name,category,ownership_confidence,land_owner_risk,temple_overlap_pct,parcel_to_seed_ratio,n_parcels,site_area_sqm,seed_geom,dist_to_station_m,nearest_station,intercept_score,uhii_hotdry_evening_c,lst_mean_c,operator_raw,source,dist_to_nearest_park_m,park_area_within_800m_sqm,green_15min
182,Pathum Wan District,Tallsters,health_centre,low,oversized_parcel,0.2,,1,1047570.8302095257,Point,1025.1680787907335,Sam Yan,8.958127403648023,2.4,41.82,,osm_category_default,38.8,136659.9,yes
188,Pathum Wan District,ห้องสมุดวิศวะกรรมศาสตร์,library,low,oversized_parcel,0.0,,1,717631.7084833096,Point,727.4356931333904,Siam,8.958127403648023,2.4,41.82,,osm_category_default,55.5,106820.2,yes
285,Pathum Wan District,สวนลุมพินี,park,high,none,0.0,1.1,9,569053.4972802524,Polygon,536.9793188118174,Si Lom,8.958127403648023,2.4,41.82,กรุงเทพมหานคร,osm_operator_tag,0.0,690100.4,yes
181,Sathon District,ห้องสมุดสิกขาเอซีย,library,low,oversized_parcel,0.0,,1,474355.1241856622,Point,1087.2606054220462,Lumphini,66.31155084548975,2.0,42.49,,osm_category_default,21.3,422683.8,yes
147,Pathum Wan District,,government_office,low,oversized_parcel,0.0,,1,466221.30650842673,Point,698.6897615323865,Siam,8.958127403648023,2.4,41.82,,osm_category_default,330.5,103402.5,yes
296,Dusit District,อุทยานเฉลิมพระเกียรติ รัชกาลที่ ๙,park,low,none,0.0,1.0,1,459140.36238355975,Polygon,1795.4731150209805,Phaya Thai,15.140222506111774,2.6,43.49,สำนักพระราชวัง | พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,osm_category_default,0.0,722795.0,yes
187,Chatuchak District,ห้องสมุดสิ่งแวดล้อม,library,low,oversized_parcel,0.0,,1,446724.9314198191,Point,885.5052971705775,Phahon Yothin,7.512476021659428,3.1,44.35,,osm_category_default,0.0,1050947.6,yes
82,Ratchathewi District,,school,low,oversized_parcel,0.0,,1,408042.36857253633,Point,326.0060828565533,Victory Monument,3.519620160749606,2.6,42.85,,osm_category_default,190.6,41787.0,yes
528,Ratchathewi District,สวนราชเทวีภิรมย์,park,low,oversized_parcel,0.0,10.5,122,352542.48655382096,Polygon,515.2020041367377,Ratchaprarop,3.519620160749606,2.6,42.85,,osm_category_default,235.4,60296.2,yes
203,Chatuchak District,Living animals,market,low,oversized_parcel,0.0,,1,310848.5774864868,Point,412.6367590055122,Chatuchak Park,7.512476021659428,3.1,44.35,,osm_category_default,0.0,776007.7,yes
287,Chatuchak District,สวนจตุจักร,park,low,none,0.0,1.2,11,300617.3782265937,Polygon,616.9672400039095,Chatuchak Park,7.512476021659428,3.1,44.35,,osm_category_default,0.0,1044933.4,yes
453,Din Daeng District,โรงเรียนสามเสนนอก,school,low,oversized_parcel,0.8,22.3,1,287984.6000268174,Polygon,512.6865334354019,Huai Khwang,39.43490169368372,2.7,44.25,BMA school registry (data.bangkok.go.th),bma_open_data+osm_footprint,229.2,4873.8,yes
690,Khlong Toei District,สวนเบญจกิติ,park,low,none,0.0,1.3,3,283601.5244358317,Polygon,732.500818354833,Queen Sirikit National Convention Centre,32.04800465406342,1.5,42.1,,osm_category_default,0.0,787563.0,yes
560,Ratchathewi District,โรงเรียนสวนมิสกวัน,school,low,oversized_parcel,0.0,37.5,1,257682.58019474836,Polygon,763.7478222694933,Victory Monument,3.519620160749606,2.6,42.85,,osm_category_default,213.5,46067.5,yes
810,Khlong Toei District,กรมศุลกากร,government_office,low,none,0.0,3.1,3,250541.2278254832,Polygon,1310.6837968358705,Queen Sirikit National Convention Centre,32.04800465406342,1.5,42.1,,osm_category_default,41.3,18630.1,yes
154,Chatuchak District,กองบริหารจัดการทรัพยากรและกำหนดมาตรการ,government_office,low,oversized_parcel,0.0,,1,246149.3451113142,Point,510.0770335704517,Kasetsart University,7.512476021659428,3.1,44.35,,osm_category_default,217.6,116962.7,yes
279,Khlong Toei District,โรงเรียนชุมชนหมู่บ้านพัฒนา,school,low,oversized_parcel,0.0,26.0,1,240443.3937606245,Polygon,1447.298536587016,Thong Lo,32.04800465406342,1.5,42.1,BMA school registry (data.bangkok.go.th),bma_open_data+osm_footprint,360.9,8422.0,yes
195,Phra Nakhon District,หอสมุดมหามงคล,library,low,oversized_parcel,8.5,,1,238455.7109525505,Point,676.4620254106107,Sanam Chai,10.073902842536365,2.3,43.21,,osm_category_default,46.0,221563.7,yes
561,Khlong Toei District,สวนป่าเบญจกิติ,park,low,none,0.0,0.4,2,205888.1125391668,Polygon,846.702906580132,Khlong Toei,32.04800465406342,1.5,42.1,,osm_category_default,0.0,855165.9,yes
767,Phaya Thai District,,government_office,low,none,0.0,0.8,44,196174.90292421036,Polygon,755.8180322737635,Ari,24.15944885836817,2.8,44.04,,osm_category_default,15.1,217221.4,yes
266,Ratchathewi District,กระทรวงการต่างประเทศ,government_office,low,oversized_parcel,0.0,15.5,1,191215.26034642264,Polygon,1254.3795031243203,Victory Monument,3.519620160749606,2.6,42.85,,osm_category_default,36.1,347883.0,yes
202,Pathum Wan District,การรถไฟแห่งประเทศไทย,government_office,low,oversized_parcel,0.0,,1,189808.63683376668,Point,664.3365696938401,Hua Lamphong,8.958127403648023,2.4,41.82,,osm_category_default,331.2,26661.4,yes
73,Pathum Wan District,เมโกะ คลินิก สาขาเซ็นทรัลเวิลด์,health_centre,low,oversized_parcel,10.1,,1,187820.7079576529,Point,513.3480907030915,Siam,8.958127403648023,2.4,41.82,,osm_category_default,89.6,167504.7,yes
270,Dusit District,โรงเรียนวชิราวุธวิทยาลัย,school,low,none,0.0,1.1,3,182438.45801745373,MultiPolygon,2283.595965016659,Bang Phlat,15.140222506111774,2.6,43.49,,osm_category_default,0.0,340369.5,yes
17,Pom Prap Sattru Phai District,,fire_station,low,oversized_parcel,1.2,,1,169520.5090294585,Point,876.9147947339089,Sam Yot,2.5132994081199342,2.5,44.33,,osm_category_default,188.2,67925.6,yes
347,Chatuchak District,กรมการขนส่งทางบก,government_office,low,none,0.0,1.3,30,157679.84662474858,Polygon,501.1806036901595,Chatuchak Park,7.512476021659428,3.1,44.35,,osm_category_default,14.4,173360.5,yes
476,Dusit District,รัฐสภา,government_office,low,none,0.0,0.8,35,155990.72258023595,Polygon,957.8008644531164,Bang O,15.140222506111774,2.6,43.49,,osm_category_default,58.8,151976.5,yes
290,Chatuchak District,สวนวชิรเบญจทัศ,park,low,none,0.0,0.3,7,151013.3478413846,Polygon,652.9311716096875,Phahon Yothin,7.512476021659428,3.1,44.35,,osm_category_default,0.0,679938.7,yes
