District,Intercept_Area_sqm,Residential_Area_sqm,District_Area_sqm,Intercept_Score_Pct,Intercept_Pct_of_Residential
Bang Rak District,3751586.0006807516,3829537.2355527123,3938037.392428603,95.26537274363294,97.96447377118373
Yan Nawa District,8885592.06214747,10975426.992921343,12484681.247246724,71.17195774707528,80.95896467516278
Sathon District,4786858.739799537,7108309.046774961,7218740.443807794,66.31155084548975,67.34173638625538
Bang Kho Laem District,3632806.162585605,7382333.620267827,8438338.513096575,43.05120204584554,49.209455294893715
Din Daeng District,3335770.562674498,5773265.973713751,8458929.57610387,39.43490169368372,57.77960997921438
Khlong Toei District,4317017.333553369,6910942.310878862,13470471.500964437,32.04800465406342,62.466406741056645
Phaya Thai District,2233848.132153377,4743491.782597193,9246271.076997822,24.159448858368172,47.092906123477746
Bangkok Yai District,1117793.7814654757,3123351.8526442125,6250610.684589283,17.88295316842188,35.78827599968149
Huai Khwang District,2891119.975285531,8908165.69481738,16298212.489345828,17.73887766634201,32.45471710261896
Bang Na District,3187544.3606666573,5855433.5085764285,19051777.84120983,16.730954912626892,54.43737608834384
Bang Sue District,2147904.5056212,6186283.7381562535,12943753.554310707,16.59413937857211,34.72043308284073
Dusit District,1709222.4905178125,3007030.1850055894,11289282.50445353,15.140222506111774,56.84088237759527
Vadhana District,1834855.8876692208,11824295.733679365,12969526.298117349,14.147439509302414,15.517675885278868
Thawi Watthana District,6261718.76609962,19265277.31997606,50078212.54390652,12.503878329542218,32.50261422194466
Prawet District,6310456.773890125,49502763.70437326,53908839.55156948,11.7057922715133,12.747685788970678
Phra Nakhon District,541993.3947920479,616586.4658171022,5380172.9405560475,10.073902842536363,87.90225294254499
Pathum Wan District,731038.4549250884,771208.897364982,8160616.85645805,8.958127403648023,94.79123716321928
Chom Thong District,1905828.2268656283,7165754.1608721865,22289981.07855504,8.550156324265371,26.596338418532326
Suan Luang District,2009258.8687011802,24365452.960836038,24367324.919077087,8.245709676272831,8.246343180776385
Chatuchak District,2446151.148099441,17399614.079518784,32561184.102909274,7.512476021659428,14.058651743194833
Bangkok Noi District,924908.3359435791,3322319.5620036745,12404576.2940345,7.456186442969261,27.839234567362674
Phra Khanong District,871944.4833248572,8546096.67575919,13174415.855919778,6.618467891561648,10.202838984938094
Thung Khru District,1680373.9030182278,5634492.2105182465,27619697.049267385,6.08396934992015,29.82298741812745
Lak Si District,1311733.3613700033,6213141.537787626,22801279.196394995,5.7528937305298005,21.11224013475613
Taling Chan District,2030594.820966017,8729980.491982173,35664667.69535428,5.693575609090911,23.260015561672386
Saphan Sung District,1527897.642250753,15440071.52640557,27911511.131403442,5.47407711125932,9.895664276151484
Bang Phlat District,631888.0093000974,1523868.331582787,11824396.191075511,5.343934684605851,41.4660503275751
Bang Kapi District,1461609.380771285,7654328.864066982,27617077.503212042,5.292411481994394,19.09519968018054
Lat Phrao District,925433.769687714,3302483.4904217385,21292904.068158746,4.346207387801089,28.022358699801796
Bang Khae District,1688704.0145177685,13165449.178796774,47842706.07987343,3.5297000376577277,12.826786170254342
Ratchathewi District,252987.62447796564,588975.0569525942,7187924.06348998,3.519620160749606,42.953877501526904
Khlong San District,204616.12407354114,1008543.1519623921,5960730.809177285,3.432735525625637,20.288286492789666
Bang Khun Thian District,3274751.3536666133,11540015.237177838,124790717.43297319,2.624194668506115,28.377357276934312
Pom Prap Sattru Phai District,63439.80816197926,75422.32475697686,2524164.369633748,2.5132994081199342,84.11277213529648
Khan Na Yao District,635625.2568566913,4083672.2344281217,25510145.07713479,2.491656770021327,15.56504098193631
Bueng Kum District,579299.1790050023,4668113.992820301,23390090.651751302,2.4766863353803545,12.40970507352609
Wang Thonglang District,350679.26595264993,5929080.609726215,17086985.953215912,2.0523178687733936,5.914563977716659
Bang Khen District,763147.0801131448,7766024.810286682,40796844.64879543,1.8706031966020622,9.826740176033166
Lat Krabang District,2384444.332369499,13809072.847588686,128307679.34492576,1.858380063097757,17.267229731399862
Nong Khaem District,661115.8429662975,4951358.095864197,36231527.05997697,1.8246977055973908,13.352212265126182
Phasi Charoen District,311959.0127923317,2200208.91057161,19238991.079796795,1.6214936193817635,14.17860873544437
Sai Mai District,646920.2192182014,8749314.113949114,43338322.57446528,1.4927209471632006,7.393953523588899
Bang Bon District,497280.5332189373,4365276.662956145,34024738.54167769,1.4615263908929288,11.391730046319246
Samphanthawong District,19268.365684199787,128860.55438994867,1427513.3997392396,1.3497852761115583,14.95288125634725
Rat Burana District,84993.29476764199,503324.0900002604,12553098.267836854,0.6770702575109213,16.886395158951764
Don Mueang District,236480.44965052514,6287005.483975821,36993963.033286,0.6392406497183001,3.7614163094538604
Min Buri District,358961.40245300264,9789557.149645885,59985204.40603623,0.5984165695647456,3.666778761958474
Thon Buri District,36799.63014015381,131678.81917365242,8082974.628762111,0.45527335950316583,27.946506789086573
Nong Chok District,829300.7002571537,25699637.51543714,238000712.26661813,0.3484446295808296,3.2268964873882484
Khlong Sam Wa District,344555.70836818026,13877603.244752478,115002693.57184076,0.29960664195481695,2.4828185551310287
