District,LCZ_Code,Dominant_LCZ,LCZ_Confidence_Pct
Bang Bon District,6,LCZ 6 (Open low-rise),75.0
Bang Kapi District,2,LCZ 2 (Compact midrise),71.0
Bang Khae District,6,LCZ 6 (Open low-rise),81.2
Bang Khen District,5,LCZ 5 (Open midrise),70.3
Bang Kho Laem District,3,LCZ 3 (Compact low-rise),74.8
Bang Khun Thian District,13,"LCZ C (Bush, scrub)",77.9
Bang Na District,8,LCZ 8 (Large low-rise),65.4
Bang Phlat District,3,LCZ 3 (Compact low-rise),70.9
Bang Rak District,2,LCZ 2 (Compact midrise),60.9
Bang Sue District,3,LCZ 3 (Compact low-rise),70.7
Bangkok Noi District,3,LCZ 3 (Compact low-rise),73.6
Bangkok Yai District,3,LCZ 3 (Compact low-rise),79.5
Bueng Kum District,3,LCZ 3 (Compact low-rise),68.9
Chatuchak District,3,LCZ 3 (Compact low-rise),66.1
Chom Thong District,5,LCZ 5 (Open midrise),80.3
Din Daeng District,3,LCZ 3 (Compact low-rise),67.4
Don Mueang District,8,LCZ 8 (Large low-rise),69.5
Dusit District,8,LCZ 8 (Large low-rise),66.4
Huai Khwang District,8,LCZ 8 (Large low-rise),65.9
Khan Na Yao District,6,LCZ 6 (Open low-rise),69.1
Khlong Sam Wa District,5,LCZ 5 (Open midrise),72.5
Khlong San District,3,LCZ 3 (Compact low-rise),64.8
Khlong Toei District,2,LCZ 2 (Compact midrise),57.8
Lak Si District,5,LCZ 5 (Open midrise),71.0
Lat Krabang District,14,LCZ D (Low plants),75.7
Lat Phrao District,3,LCZ 3 (Compact low-rise),72.0
Min Buri District,6,LCZ 6 (Open low-rise),69.8
Nong Chok District,14,LCZ D (Low plants),78.4
Nong Khaem District,5,LCZ 5 (Open midrise),77.3
Pathum Wan District,2,LCZ 2 (Compact midrise),56.4
Phasi Charoen District,5,LCZ 5 (Open midrise),78.9
Phaya Thai District,3,LCZ 3 (Compact low-rise),59.2
Phra Khanong District,2,LCZ 2 (Compact midrise),71.6
Phra Nakhon District,2,LCZ 2 (Compact midrise),66.6
Pom Prap Sattru Phai District,2,LCZ 2 (Compact midrise),66.7
Prawet District,6,LCZ 6 (Open low-rise),70.4
Rat Burana District,3,LCZ 3 (Compact low-rise),76.3
Ratchathewi District,2,LCZ 2 (Compact midrise),52.3
Sai Mai District,5,LCZ 5 (Open midrise),68.3
Samphanthawong District,2,LCZ 2 (Compact midrise),70.4
Saphan Sung District,6,LCZ 6 (Open low-rise),70.2
Sathon District,3,LCZ 3 (Compact low-rise),59.6
Suan Luang District,3,LCZ 3 (Compact low-rise),70.8
Taling Chan District,5,LCZ 5 (Open midrise),84.9
Thawi Watthana District,5,LCZ 5 (Open midrise),84.6
Thon Buri District,3,LCZ 3 (Compact low-rise),69.6
Thung Khru District,6,LCZ 6 (Open low-rise),68.0
Vadhana District,3,LCZ 3 (Compact low-rise),58.6
Wang Thonglang District,3,LCZ 3 (Compact low-rise),72.5
Yan Nawa District,8,LCZ 8 (Large low-rise),68.3
