X,Y,pop_defacto_2020
-24993.77,23483.10,7.94
-24793.77,23483.10,16.70
-24593.77,23483.10,11.78
-24393.77,23483.10,14.65
-24193.77,23483.10,17.48
-23993.77,23483.10,20.72
-23793.77,23483.10,45.47
-23593.77,23483.10,21.43
-23393.77,23483.10,22.28
-23193.77,23483.10,26.77
-22993.77,23483.10,39.92
-22793.77,23483.10,37.09
-22593.77,23483.10,37.47
-22393.77,23483.10,41.84
-22193.77,23483.10,50.66
-21993.77,23483.10,107.77
-21793.77,23483.10,55.73
-21593.77,23483.10,73.45
-21393.77,23483.10,90.18
-21193.77,23483.10,132.25
-20993.77,23483.10,94.37
-20793.77,23483.10,93.68
-20593.77,23483.10,83.85
-20393.77,23483.10,92.96
-20193.77,23483.10,90.16
-19993.77,23483.10,40.02
-19793.77,23483.10,26.78
-19593.77,23483.10,20.27
-19393.77,23483.10,26.91
-19193.77,23483.10,16.90
-18993.77,23483.10,21.58
-18793.77,23483.10,35.28
-18593.77,23483.10,32.78
-18393.77,23483.10,46.78
-18193.77,23483.10,39.65
-17993.77,23483.10,72.39
-17793.77,23483.10,90.64
-17593.77,23483.10,168.18
-17393.77,23483.10,118.39
-17193.77,23483.10,119.79
-16993.77,23483.10,130.98
-16793.77,23483.10,122.63
-16593.77,23483.10,207.76
-16393.77,23483.10,138.68
-16193.77,23483.10,133.41
-15993.77,23483.10,121.87
-15793.77,23483.10,180.51
-15593.77,23483.10,82.01
-15393.77,23483.10,83.86
-15193.77,23483.10,97.97
-14993.77,23483.10,104.27
-14793.77,23483.10,187.52
-14593.77,23483.10,92.57
-14393.77,23483.10,100.60
-14193.77,23483.10,121.08
-13993.77,23483.10,141.95
-13793.77,23483.10,78.46
-13593.77,23483.10,85.92
-13393.77,23483.10,75.44
-13193.77,23483.10,72.97
-12993.77,23483.10,119.42
-12793.77,23483.10,76.47
-12593.77,23483.10,66.11
-12393.77,23483.10,55.30
-12193.77,23483.10,74.63
-11993.77,23483.10,46.09
-11793.77,23483.10,50.58
-11593.77,23483.10,102.20
-11393.77,23483.10,83.53
-11193.77,23483.10,123.00
-10993.77,23483.10,126.28
-10793.77,23483.10,147.96
-10593.77,23483.10,112.23
-10393.77,23483.10,132.32
-10193.77,23483.10,79.87
-9993.77,23483.10,92.33
-9793.77,23483.10,112.38
-9593.77,23483.10,112.90
-9393.77,23483.10,172.06
-9193.77,23483.10,140.61
-8993.77,23483.10,166.69
-8793.77,23483.10,152.36
-8593.77,23483.10,254.76
-8393.77,23483.10,143.39
-8193.77,23483.10,137.62
-7993.77,23483.10,150.49
-7793.77,23483.10,163.35
-7593.77,23483.10,187.04
-7393.77,23483.10,124.84
-7193.77,23483.10,103.75
-6993.77,23483.10,93.26
-6793.77,23483.10,200.98
-6593.77,23483.10,129.80
-6393.77,23483.10,109.56
-6193.77,23483.10,105.96
-5993.77,23483.10,111.37
-5793.77,23483.10,213.61
-5593.77,23483.10,158.02
-5393.77,23483.10,128.84
-5193.77,23483.10,108.20
-4993.77,23483.10,173.76
-4793.77,23483.10,143.86
-4593.77,23483.10,192.81
-4393.77,23483.10,217.15
-4193.77,23483.10,189.91
-3993.77,23483.10,289.16
-3793.77,23483.10,215.45
-3593.77,23483.10,252.52
-3393.77,23483.10,298.08
-3193.77,23483.10,406.83
-2993.77,23483.10,253.95
-2793.77,23483.10,202.52
-2593.77,23483.10,125.96
-2393.77,23483.10,62.25
-2193.77,23483.10,127.25
-1993.77,23483.10,158.18
-1793.77,23483.10,159.70
-1593.77,23483.10,144.02
-1393.77,23483.10,290.90
-1193.77,23483.10,249.91
-993.77,23483.10,233.88
-793.77,23483.10,173.19
-593.77,23483.10,136.15
-393.77,23483.10,262.79
-193.77,23483.10,166.91
6.23,23483.10,157.98
206.23,23483.10,146.19
406.23,23483.10,185.00
606.23,23483.10,166.95
806.23,23483.10,205.88
1006.23,23483.10,241.99
1206.23,23483.10,311.35
1406.23,23483.10,355.34
1606.23,23483.10,151.04
1806.23,23483.10,167.37
2006.23,23483.10,185.43
2206.23,23483.10,248.96
2406.23,23483.10,132.78
2606.23,23483.10,124.92
2806.23,23483.10,114.92
3006.23,23483.10,122.31
3206.23,23483.10,165.16
3406.23,23483.10,119.98
3606.23,23483.10,128.56
3806.23,23483.10,134.21
4006.23,23483.10,241.84
4206.23,23483.10,181.76
4406.23,23483.10,161.66
4606.23,23483.10,189.50
4806.23,23483.10,195.34
5006.23,23483.10,249.69
5206.23,23483.10,171.90
5406.23,23483.10,188.60
5606.23,23483.10,229.36
5806.23,23483.10,467.43
6006.23,23483.10,381.57
6206.23,23483.10,452.96
6406.23,23483.10,446.15
6606.23,23483.10,431.19
6806.23,23483.10,486.73
7006.23,23483.10,202.98
7206.23,23483.10,150.43
7406.23,23483.10,159.74
7606.23,23483.10,265.27
7806.23,23483.10,197.64
8006.23,23483.10,213.06
8206.23,23483.10,234.34
8406.23,23483.10,254.93
8606.23,23483.10,436.69
8806.23,23483.10,283.72
9006.23,23483.10,215.12
9206.23,23483.10,173.95
9406.23,23483.10,218.74
9606.23,23483.10,155.55
9806.23,23483.10,155.40
10006.23,23483.10,170.99
10206.23,23483.10,203.56
10406.23,23483.10,310.58
10606.23,23483.10,220.35
10806.23,23483.10,209.32
11006.23,23483.10,209.36
11206.23,23483.10,265.19
11406.23,23483.10,157.24
11606.23,23483.10,128.03
11806.23,23483.10,113.11
12006.23,23483.10,134.51
12206.23,23483.10,208.76
12406.23,23483.10,148.39
12606.23,23483.10,154.08
12806.23,23483.10,159.73
13006.23,23483.10,251.91
13206.23,23483.10,173.75
13406.23,23483.10,159.50
13606.23,23483.10,118.23
13806.23,23483.10,100.24
14006.23,23483.10,129.10
14206.23,23483.10,86.81
14406.23,23483.10,75.75
14606.23,23483.10,48.75
14806.23,23483.10,100.71
15006.23,23483.10,102.18
15206.23,23483.10,113.82
15406.23,23483.10,112.38
15606.23,23483.10,111.51
15806.23,23483.10,174.87
