District,LST_Mean_C,LST_Max_C,Pixel_Count
Don Mueang District,45.63,55.36,3986
Bueng Kum District,45.14,50.28,2568
Sai Mai District,44.91,52.75,4693
Bang Khen District,44.84,52.38,4422
Bang Sue District,44.7,49.43,1452
Lat Phrao District,44.66,50.56,2315
Lak Si District,44.59,50.27,2484
Khan Na Yao District,44.57,51.2,2810
Chatuchak District,44.35,53.96,3502
Bang Kapi District,44.34,53.28,3062
Pom Prap Sattru Phai District,44.33,46.84,304
Din Daeng District,44.25,51.68,960
Bangkok Yai District,44.11,48.07,714
Wang Thonglang District,44.07,50.26,1880
Saphan Sung District,44.06,49.18,3042
Phaya Thai District,44.04,48.0,1029
Thon Buri District,43.87,48.2,924
Bangkok Noi District,43.64,49.29,1375
Bang Phlat District,43.59,48.16,1332
Dusit District,43.49,47.91,1263
Suan Luang District,43.4,49.41,2666
Huai Khwang District,43.29,50.28,1799
Phra Nakhon District,43.21,48.01,615
Phra Khanong District,43.21,47.7,1463
Phasi Charoen District,43.09,47.39,2134
Bang Na District,43.09,50.18,2103
Khlong San District,42.91,46.97,676
Ratchathewi District,42.85,47.35,825
Taling Chan District,42.82,48.63,3843
Bang Khae District,42.8,50.94,5127
Prawet District,42.78,51.34,5761
Samphanthawong District,42.72,45.19,180
Chom Thong District,42.71,49.22,2442
Nong Khaem District,42.65,50.99,3906
Min Buri District,42.65,52.18,6461
Sathon District,42.49,47.89,836
Bang Kho Laem District,42.48,48.22,952
Thawi Watthana District,42.36,54.09,5352
Khlong Sam Wa District,42.26,51.34,12206
Vadhana District,42.2,46.01,1449
Khlong Toei District,42.1,50.33,1497
Rat Burana District,42.02,48.44,1408
Pathum Wan District,41.82,47.2,912
Bang Rak District,41.81,45.04,461
Lat Krabang District,41.81,53.35,13595
Yan Nawa District,41.6,48.04,1394
Bang Bon District,41.51,51.42,3708
Nong Chok District,41.28,51.82,25079
Thung Khru District,41.02,47.3,3029
Bang Khun Thian District,37.55,50.41,13285
