From_ID,To_ID,Lines,From_X,From_Y,To_X,To_Y
0,1,BTS Sukhumvit,5133.16,-19500.84,4889.09,-18370.44
1,2,BTS Sukhumvit,4889.09,-18370.44,5147.72,-17662.97
2,3,BTS Sukhumvit,5147.72,-17662.97,5269.07,-16797.51
3,4,BTS Sukhumvit,5269.07,-16797.51,3989.33,-15676.97
4,5,BTS Sukhumvit,3989.33,-15676.97,3752.07,-14972.2
5,6,BTS Sukhumvit,3752.07,-14972.2,3235.91,-13514.68
6,7,BTS Sukhumvit,3235.91,-13514.68,3433.42,-11763.76
8,7,BTS Sukhumvit,3884.35,-10819.04,3433.42,-11763.76
8,9,BTS Sukhumvit,3884.35,-10819.04,4491.82,-9105.43
9,10,BTS Sukhumvit,4491.82,-9105.43,4800.37,-8332.21
10,11,BTS Sukhumvit,4800.37,-8332.21,5319.03,-7027.29
11,12,BTS Sukhumvit,5319.03,-7027.29,5268.24,-5983.37
12,13,BTS Sukhumvit,5268.24,-5983.37,4873.04,-5151.2
13,14,BTS Sukhumvit,4873.04,-5151.2,4404.77,-4165.66
14,15,BTS Sukhumvit,4404.77,-4165.66,3350.77,-3105.02
16,15,BTS Sukhumvit,2689.02,-2619.71,3350.77,-3105.02
16,17,BTS Sukhumvit,2689.02,-2619.71,1976.36,-2097.3
17,18,BTS Sukhumvit,1976.36,-2097.3,1026.27,-1408.11
18,19,BTS Sukhumvit,1026.27,-1408.11,83.56,-648.34
19,20,BTS Sukhumvit,83.56,-648.34,-517.44,-284.2
20,21,BTS Sukhumvit,-517.44,-284.2,-1213.06,-3.49
21,22,BTS Sukhumvit,-1213.06,-3.49,-1850.77,110.83
22,23,BTS Sukhumvit,-1850.77,110.83,-2805.17,289.4
24,23,BTS Sukhumvit,-3096.6,979.0,-2805.17,289.4
24,25,BTS Sukhumvit,-3096.6,979.0,-2814.06,1537.04
25,26,BTS Sukhumvit,-2814.06,1537.04,-2501.81,2189.08
26,27,BTS Sukhumvit,-2501.81,2189.08,-1960.34,3286.44
27,28,BTS Sukhumvit,-1960.34,3286.44,-1684.83,4073.75
28,29,BTS Sukhumvit,-1684.83,4073.75,-1440.57,4765.17
