Node_ID,Name,Lines,Degree,Lat,Lon,X,Y,District
0,Kheha,BTS Sukhumvit,1,13.567706,100.607726,5133.16,-19500.84,
1,Sai Luat,BTS Sukhumvit,2,13.577872,100.605467,4889.09,-18370.44,
2,Phraek Sa,BTS Sukhumvit,2,13.584235,100.607861,5147.72,-17662.97,
3,Srinagarindra,BTS Sukhumvit,2,13.592018,100.608985,5269.07,-16797.51,
4,Pak Nam,BTS Sukhumvit,2,13.602095,100.597137,3989.33,-15676.97,
5,Royal Thai Naval Academy,BTS Sukhumvit,2,13.608433,100.59494,3752.07,-14972.2,
6,Chang Erawan,BTS Sukhumvit,2,13.621541,100.590161,3235.91,-13514.68,
7,Pu Chao,BTS Sukhumvit,2,13.637287,100.59199,3433.42,-11763.76,
8,Samrong,BTS Sukhumvit|MRT Yellow,3,13.645783,100.596165,3884.35,-10819.04,
9,Bearing,BTS Sukhumvit,2,13.661194,100.601789,4491.82,-9105.43,Bang Na District
10,Bang Na,BTS Sukhumvit,2,13.668148,100.604645,4800.37,-8332.21,Bang Na District
11,Udom Suk,BTS Sukhumvit,2,13.679884,100.609447,5319.03,-7027.29,Bang Na District
12,Punnawithi,BTS Sukhumvit,2,13.689272,100.608977,5268.24,-5983.37,Phra Khanong District
13,Bang Chak,BTS Sukhumvit,2,13.696756,100.605318,4873.04,-5151.2,Phra Khanong District
14,On Nut,BTS Sukhumvit,2,13.705619,100.600983,4404.77,-4165.66,Khlong Toei District
15,Phra Khanong,BTS Sukhumvit,2,13.715157,100.591225,3350.77,-3105.02,Khlong Toei District
16,Ekkamai BTS Station,BTS Sukhumvit,2,13.719522,100.585098,2689.02,-2619.71,Khlong Toei District
17,Thong Lo,BTS Sukhumvit,2,13.72422,100.5785,1976.36,-2097.3,Khlong Toei District
18,Phrom Phong,BTS Sukhumvit,2,13.730418,100.569704,1026.27,-1408.11,Khlong Toei District
19,Asok,BTS Sukhumvit|MRT Blue,4,13.737251,100.560976,83.56,-648.34,Vadhana District
20,Nana,BTS Sukhumvit,2,13.740526,100.555412,-517.44,-284.2,Khlong Toei District
21,Phloen Chit,BTS Sukhumvit,2,13.74305,100.548971,-1213.06,-3.49,Pathum Wan District
22,Chit Lom,BTS Sukhumvit,2,13.744078,100.543067,-1850.77,110.83,Pathum Wan District
23,Siam,BTS Sukhumvit,2,13.745684,100.534231,-2805.17,289.4,Pathum Wan District
24,Ratchathewi,BTS Sukhumvit,2,13.751886,100.531533,-3096.6,979.0,Ratchathewi District
25,Phaya Thai,ARL|BTS Sukhumvit,3,13.756904,100.534149,-2814.06,1537.04,Ratchathewi District
26,Victory Monument,BTS Sukhumvit,2,13.762768,100.53704,-2501.81,2189.08,Ratchathewi District
27,Sanam Pao,BTS Sukhumvit,2,13.772637,100.542053,-1960.34,3286.44,Phaya Thai District
28,Ari,BTS Sukhumvit,2,13.779718,100.544604,-1684.83,4073.75,Phaya Thai District
29,Sena Ruam,BTS Sukhumvit,2,13.785936,100.546865,-1440.57,4765.17,Phaya Thai District
30,Saphan Khwai,BTS Sukhumvit,2,13.793831,100.549693,-1135.15,5643.1,Phaya Thai District
31,Chatuchak Park,BTS Sukhumvit|MRT Blue,4,13.802791,100.553532,-720.48,6639.36,Chatuchak District
32,Ha Yaek Lat Phrao,BTS Sukhumvit,2,13.816725,100.561943,188.03,8188.82,Chatuchak District
