District,Population_Pct_BMA,UHI_Tier,UHII_CoolDry_Night_C,UHII_CoolDry_Evening_C,UHII_HotDry_Night_C,UHII_HotDry_Evening_C,UHII_Wet_Night_C,UHII_Wet_Evening_C,LST_Mean_C,LST_Max_C,Dominant_LCZ,LCZ_Confidence_Pct
Pom Prap Sattru Phai District,0.72,Severe,4.8,4.0,1.8,2.5,3.3,2.7,44.33,46.84,LCZ 2 (Compact midrise),66.7
Samphanthawong District,0.37,Severe,4.8,4.0,1.7,2.3,3.2,2.6,42.72,45.19,LCZ 2 (Compact midrise),70.4
Din Daeng District,2.02,Severe,4.7,4.0,1.9,2.7,3.1,2.8,44.25,51.68,LCZ 3 (Compact low-rise),67.4
Phaya Thai District,1.19,Severe,4.7,4.0,1.9,2.8,3.2,2.7,44.04,48.0,LCZ 3 (Compact low-rise),59.2
Phra Nakhon District,0.76,Severe,4.7,3.9,1.7,2.3,3.2,2.5,43.21,48.01,LCZ 2 (Compact midrise),66.6
Ratchathewi District,1.21,Severe,4.7,4.1,1.9,2.6,3.2,2.7,42.85,47.35,LCZ 2 (Compact midrise),52.3
Bang Rak District,0.8,Severe,4.7,3.9,1.7,2.3,3.2,2.7,41.81,45.04,LCZ 2 (Compact midrise),60.9
Khlong San District,1.21,Severe,4.6,3.7,1.6,1.9,3.1,2.3,42.91,46.97,LCZ 3 (Compact low-rise),64.8
Pathum Wan District,0.74,Severe,4.6,3.9,1.7,2.4,3.1,2.6,41.82,47.2,LCZ 2 (Compact midrise),56.4
Bang Sue District,2.17,Severe,4.5,3.9,2.0,3.2,3.0,2.7,44.7,49.43,LCZ 3 (Compact low-rise),70.7
Bangkok Yai District,1.12,Severe,4.5,3.9,1.6,1.9,3.1,2.3,44.11,48.07,LCZ 3 (Compact low-rise),79.5
Thon Buri District,1.81,Severe,4.5,3.7,1.4,1.7,3.0,2.2,43.87,48.2,LCZ 3 (Compact low-rise),69.6
Dusit District,1.43,Severe,4.5,3.8,1.7,2.6,3.0,2.5,43.49,47.91,LCZ 8 (Large low-rise),66.4
Sathon District,1.32,Severe,4.5,3.8,1.6,2.0,3.1,2.4,42.49,47.89,LCZ 3 (Compact low-rise),59.6
Bang Phlat District,1.59,Severe,4.4,3.8,1.7,2.5,3.0,2.5,43.59,48.16,LCZ 3 (Compact low-rise),70.9
Chatuchak District,2.8,Severe,4.3,3.8,2.0,3.1,2.8,2.5,44.35,53.96,LCZ 3 (Compact low-rise),66.1
Bang Kho Laem District,1.44,Severe,4.3,3.4,1.4,1.6,2.9,2.1,42.48,48.22,LCZ 3 (Compact low-rise),74.8
Vadhana District,1.47,Severe,4.3,3.7,1.5,2.0,2.8,2.4,42.2,46.01,LCZ 3 (Compact low-rise),58.6
Wang Thonglang District,1.9,Medium,4.2,3.7,1.7,2.7,2.7,2.6,44.07,50.26,LCZ 3 (Compact low-rise),72.5
Bangkok Noi District,1.81,Medium,4.2,3.7,1.5,2.1,2.9,2.3,43.64,49.29,LCZ 3 (Compact low-rise),73.6
Huai Khwang District,1.52,Medium,4.2,3.6,1.6,2.3,2.7,2.5,43.29,50.28,LCZ 8 (Large low-rise),65.9
Chom Thong District,2.61,Medium,4.2,3.2,1.3,1.1,2.8,1.9,42.71,49.22,LCZ 5 (Open midrise),80.3
Lat Phrao District,2.08,Medium,4.0,3.6,1.8,3.1,2.6,2.5,44.66,50.56,LCZ 3 (Compact low-rise),72.0
Lak Si District,1.83,Medium,4.0,3.5,2.0,3.6,2.5,2.2,44.59,50.27,LCZ 5 (Open midrise),71.0
Khlong Toei District,1.65,Medium,4.0,3.3,1.3,1.5,2.6,2.0,42.1,50.33,LCZ 2 (Compact midrise),57.8
Rat Burana District,1.39,Medium,4.0,2.9,1.2,1.2,2.7,1.8,42.02,48.44,LCZ 3 (Compact low-rise),76.3
Yan Nawa District,1.35,Medium,4.0,3.2,1.4,1.5,2.7,2.0,41.6,48.04,LCZ 8 (Large low-rise),68.3
Phasi Charoen District,2.22,Medium,3.9,3.6,1.5,1.5,2.9,2.1,43.09,47.39,LCZ 5 (Open midrise),78.9
Phra Khanong District,1.57,Medium,3.8,3.3,1.5,2.0,2.5,2.2,43.21,47.7,LCZ 2 (Compact midrise),71.6
Bang Na District,1.57,Medium,3.8,3.2,1.5,1.9,2.6,2.2,43.09,50.18,LCZ 8 (Large low-rise),65.4
Suan Luang District,2.23,Medium,3.7,3.4,1.6,2.4,2.5,2.4,43.4,49.41,LCZ 3 (Compact low-rise),70.8
Bang Kapi District,2.57,Medium,3.6,3.4,1.6,2.7,2.4,2.4,44.34,53.28,LCZ 2 (Compact midrise),71.0
Bueng Kum District,2.51,Medium,3.5,3.4,1.7,3.1,2.3,2.4,45.14,50.28,LCZ 3 (Compact low-rise),68.9
Taling Chan District,1.85,Medium,3.3,3.4,1.4,1.9,2.7,2.0,42.82,48.63,LCZ 5 (Open midrise),84.9
Don Mueang District,3.03,Low,3.2,2.9,1.8,3.7,1.9,1.8,45.63,55.36,LCZ 8 (Large low-rise),69.5
Bang Bon District,1.84,Low,3.1,2.6,1.0,0.9,2.5,1.6,41.51,51.42,LCZ 6 (Open low-rise),75.0
Bang Khae District,3.5,Low,3.0,3.1,1.3,1.4,2.6,1.8,42.8,50.94,LCZ 6 (Open low-rise),81.2
Thung Khru District,2.25,Low,3.0,1.5,0.8,0.7,2.1,1.2,41.02,47.3,LCZ 6 (Open low-rise),68.0
