District,UHII_Night_DecC,Population_Pct_BMA
Pom Prap Sattru Phai,4.8,0.72
Samphanthawong,4.8,0.37
Ratchathewi,4.7,1.21
Phra Nakhon,4.7,0.76
Bang Rak,4.7,0.80
Phaya Thai,4.7,1.19
Din Daeng,4.7,2.02
Khlong San,4.6,1.21
Pathum Wan,4.6,0.74
Thon Buri,4.5,1.81
Bangkok Yai,4.5,1.12
Sathon,4.5,1.32
Bang Sue,4.5,2.17
Dusit,4.5,1.43
Bang Phlat,4.4,1.59
Bang Kho Laem,4.3,1.44
Chatuchak,4.3,2.80
Watthana,4.3,1.47
Bangkok Noi,4.2,1.81
Huai Khwang,4.2,1.52
Wang Thonglang,4.2,1.90
Chom Thong,4.2,2.61
Rat Burana,4.0,1.39
Khlong Toei,4.0,1.65
Yan Nawa,4.0,1.35
Lak Si,4.0,1.83
Lat Phrao,4.0,2.08
Phasi Charoen,3.9,2.22
Bang Na,3.8,1.57
Phra Khanon,3.8,1.57
Suan Luang,3.7,2.23
Bang Kapi,3.6,2.57
Bueng Kum,3.5,2.51
Taling Chan,3.3,1.85
Don Mueang,3.2,3.03
Bang Bon,3.1,1.84
Bang Khae,3.0,3.50
Thung Khru,3.0,2.25
Bang Khen,2.9,3.37
Prawet,2.8,3.33
Khan Na Yao,2.8,1.74
Bang Khun Thian,2.8,3.36
Saphan Sung,2.6,1.75
Nong Khaem,2.6,2.83
Sai Mai,2.3,3.80
Thawi Watthana,1.6,1.44
Min Buri,0.9,2.57
Lat Krabang,0.7,3.25
Khlong Sam Wa,0.6,3.81
Nong Chok,-0.2,3.30
