Rank,District,score,tier,lcz,evening,lst,transit,pop,s_uhi,s_vuln,s_transit,s_pop
1,Chatuchak District,9.07,Severe,LCZ 3 (Compact low-rise),3.1,44.35,14,2.8,8.17,10.0,10.0,7.06
2,Bang Sue District,7.22,Severe,LCZ 3 (Compact low-rise),3.2,44.7,4,2.17,8.53,10.0,2.86,5.23
3,Din Daeng District,6.9,Severe,LCZ 3 (Compact low-rise),2.7,44.25,5,2.02,7.23,10.0,3.57,4.8
4,Bang Khen District,6.7,Low,LCZ 5 (Open midrise),3.3,44.84,12,3.37,8.8,2.0,8.57,8.72
5,Wang Thonglang District,6.67,Medium,LCZ 3 (Compact low-rise),2.7,44.07,4,1.9,7.16,10.0,2.86,4.45
6,Bueng Kum District,6.58,Medium,LCZ 3 (Compact low-rise),3.1,45.14,0,2.51,8.46,10.0,0.0,6.22
7,Lat Phrao District,6.4,Medium,LCZ 3 (Compact low-rise),3.1,44.66,0,2.08,8.29,10.0,0.0,4.97
8,Phaya Thai District,6.36,Severe,LCZ 3 (Compact low-rise),2.8,44.04,3,1.19,7.38,10.0,2.14,2.38
9,Bang Phlat District,6.36,Severe,LCZ 3 (Compact low-rise),2.5,43.59,4,1.59,6.53,10.0,2.86,3.55
10,Suan Luang District,6.26,Medium,LCZ 3 (Compact low-rise),2.4,43.4,3,2.23,6.24,10.0,2.14,5.41
11,Don Mueang District,6.01,Low,LCZ 8 (Large low-rise),3.7,45.63,3,3.03,10.0,4.0,2.14,7.73
12,Khlong San District,5.86,Severe,LCZ 3 (Compact low-rise),1.9,42.91,5,1.21,4.93,10.0,3.57,2.44
13,Bangkok Noi District,5.75,Medium,LCZ 3 (Compact low-rise),2.1,43.64,2,1.81,5.65,10.0,1.43,4.19
14,Bang Kapi District,5.7,Medium,LCZ 2 (Compact midrise),2.7,44.34,4,2.57,7.26,6.0,2.86,6.4
15,Thon Buri District,5.64,Severe,LCZ 3 (Compact low-rise),1.7,43.87,3,1.81,4.83,10.0,2.14,4.19
16,Bangkok Yai District,5.63,Severe,LCZ 3 (Compact low-rise),1.9,44.11,3,1.12,5.37,10.0,2.14,2.18
17,Pathum Wan District,5.49,Severe,LCZ 2 (Compact midrise),2.4,41.82,9,0.74,5.65,6.0,6.43,1.08
18,Vadhana District,5.21,Severe,LCZ 3 (Compact low-rise),2.0,42.2,1,1.47,4.89,10.0,0.71,3.2
19,Khlong Toei District,5.08,Medium,LCZ 2 (Compact midrise),1.5,42.1,9,1.65,3.72,6.0,6.43,3.72
